digest,character,evidence
25bea60b59c3bf05ab4d501decc5ac4e47e636a2,g,the end-credits face.
51904a9ca66331201ea95357500a78f9256631f0,e,the end-credits face.
5487efca13ce7c9d906fb16862346d72c715003a,u,the end-credits face.
85338bf09b68a381716e8e57b1943de7669f8fe8,U,the end-credits face.
e4fb0db70cae29d85dfbf92703c90792c476e7b2,R,the end-credits face.
49e2de9df1c5f5a26ee79001fde75c068576b5ad,&,the end-credits face.
f7e7e8ca5d0515e6335b6248960262abece30ad6,Y,the end-credits face.
88f49d1b4943a802d053fbff9ff9be36d1fcb643,G,the end-credits face.
597242d9fcb6976b1b14fc81f61c888c393887c3,n,the end-credits face.
5a91bf5f5deebb95c0931b1098eea49f5632877b,d,the end-credits face.
3091bfb7a6054ba46a12f208fb8bb7926481c8a6,A,the end-credits face.
55ece22772231ab7b9551115c00f1128bfbf564c,t,the end-credits face.
3c21c0d7b598cc798075c7aa6fc41ff9ea5dde3c,c,the end-credits face.
57d404c2947860b7dca2437f53c1f1bd0a479eef,E,the end-credits face.
660930c1b035293997343d57281f314a02cded2f,w,the end-credits face.
2ace9d44447c3deb36a7758b0efd3cdf462c7b67,F,the end-credits face.
99dfabb8e4f176d3fe024d9bc1ac541bb0926470,M,the end-credits face.
53ca94c36a16e9ecef0a8a9c217cbbdd823ff566,V,the end-credits face.
4e9e526b4546f8484a9ee0d419b2915b38293097,K,the end-credits face.
d89a4f4510f8484d6b40f9755c005c6c33e7f9e9,c,the end-credits face.
c45d787e71877c2e4c1ed2d479373802829ec2ed,E,the end-credits face.
ff21ca55527271c0d910355bec2cc9e6078dd87a,v,the end-credits face.
3fea955831683019a3f97135f2e7fc4a93f1bb1e,z,the end-credits face.
f12dc907e5b1fe5fee59a6dad61a6d7a0b847a42,H,the end-credits face.
c94292d23d34fc69aff9bbad67627f950af9857a,y,the end-credits face.
786cc40365789e42281e00ff276872011ba2308e,S,the end-credits face.
9b100464b555ae40bce0b7efde9711cdc46cd8fc,p,the end-credits face.
be96ec33f1e4ce0b495b8741c93a30c3b435124d,O,the end-credits face.
2f7d841e6aa7ae03035fec3e309eca6d013d9083,(,the end-credits face.
ddad6e428ff4a71debb5b635096ae21d6ebdbf37,E,the end-credits face.
28df9dd8f3e634d04efceca2134739eee3e444c3,d,the end-credits face.
fdc4c1f146e7292f713c1bd6000c1787e2faf9e5,g,the end-credits face.
1d291ad97e2b31ce6b7dc5b2215e00d2a29955e2,e,the end-credits face.
344a212bec303d092d0202834a582417de7acf57,w,the end-credits face.
f9c20ad97f3d62d76e96e2da6077d1c7aa2da463,o,the end-credits face.
1dae8b5b5b54a372465046bc0d9793df59733150,r,the end-credits face.
9c3d3f148b40d3b537338e4439586aa6b7e08306,k,the end-credits face.
19f9b0d327b44d6759b20a337f16fccfa61f338c,s,the end-credits face.
bfc314b931199c491548ceec13cf080f0942c011,I,the end-credits face.
3b54d75875281567e42ac9525bb8bdaa3fb129d7,n,the end-credits face.
667ddfadb1bbe91a8261bb74863aa8740d851806,c,the end-credits face.
d96f3108ec533a722e3702b593e9fabd961468a3,.,the end-credits face.
b3b4786973ef898e9bdf0ef28e61094d90470c74,),the end-credits face.
38450f70d62e1edef8e33651f384f5c4ecf4a77d,u,the end-credits face.
21781de20b726c6ffa78b9b089de19f2df174c13,b,the end-credits face.
13e7b334ca9d2666415b59094b127109f1a1b3f0,j,the end-credits face.
d7f56f646cc074bf1afbf6eeb6066416b10882af,T,the end-credits face.
2fbbae39c957b4e32e5b732a59c3d5186a91313a,R,the end-credits face.
7480a63d2e79123a316f5d4e7571ca210e5912d1,-,the end-credits face.
18409534598e2a76747c24cd7ac172ebf8398d93,C,the end-credits face.
942d34ec4a19edb9f220154bb8b6b3443a69356c,S,the end-credits face.
4b95cafd0b303f2c35edb7527f76751492f1323f,N,the end-credits face.
d0fb4da4115986e5c21719120df3cb51525a2ee7,D,the end-credits face.
bf1f6714d46b1e375e7a973bcc0f8290c1c7971a,O,the end-credits face.
c5504be1ca402d2a231f3ecf96367ea85217bfc1,T,the end-credits face.
9af4d345dc1a3cc1167b2e2c01f175feda8681aa,B,the end-credits face.
0566e90b45eccdbf904122dd60e84c2726f8713d,l,the end-credits face.
aa2007e3e80921bfe40f1800006e370bebfa2d8d,A,the end-credits face.
ca4e5640ba285469efe6abc881cdd3e2a8e7ff5d,T,the end-credits face.
ea7200a2b0f023d4783fbb3f1da88549435e1510,F,the end-credits face.
113643ffa6ef6a6b904f2960b5915f6c15b350fa,Q,the end-credits face.
77e1be424872b521117162e8ffb1569507caacd3,U,the end-credits face.
ae28507900ab792a89c00a2a5296461c6cbf4d5b,A,the end-credits face.
7a645470fea35ffb33417811d434b43ed76420a6,X,the end-credits face.
905ef0690e296c83f3509bba11504f0cf0b8a37b,J,the end-credits face.
5deaa7b41c6e450329abfe98e8d94cf67fce015d,k,the end-credits face.
cf6d394decc69660ca0946ae010d300e42771b0b,L,the end-credits face.
e60a53016790fce817bbc2b948dff87795c6c80f,C,the end-credits face.
888a29b15c09620a4dcd9864de65a8ded65b13e8,h,the end-credits face.
2cfd9e9b18b4f20bf0bb922944e660f38b600ce8,I,the end-credits face.
56d33a436f04d7265179428c11fdc4ac58107fec,f,the end-credits face.
1e81302470a595ed353005a68b1a87f31c80dd37,W,the end-credits face.
7e65e4f5dc70a865e384bcc810c0a5da03efffbd,f,the end-credits face.
fee26e0e655d506035cf6f8c1a57d581f9b50c03,3,the end-credits face.
9f12b8d75840ba8000115ffff2528ef696aad6c5,R,the end-credits face.
7ac3974742aea9bb57fd35d294a128028300f725,y,the end-credits face.
ba85589fedd8ea00ef22dfbc59d30130ef13a8b8,C,the end-credits face.
8a0fc6a283c8af48c88b2648078a230e16473417,B,the end-credits face.
008b220e92c25791199a8ac03d315154e98ddac5,D,the end-credits face.
2734d3682869e4683de8b546d4b51a603466e9f7,P,the end-credits face.
ebe556824318e8ca59cf34201a7bcd7adbfc2a94,.,the end-credits face.
39e311af5a70062c404c4b1eeb95b01da6db0487,l,the end-credits face.
35d6984bcec31e27cfc0c1e33e728182506ae881,V,the end-credits face.
d09d6868bc40293e930ac287ed9e267e45b67385,M,the end-credits face.
c9ee8f6f6c4360ed040d9dd425e8e504c4dcc6ce,t,the end-credits face.
ccc7b477ead93347cbff4e3e3bedbad8cbf2721e,a,the end-credits face.
e7dfbe67557cb0ad3a59748f378c69746093853a,i,the end-credits face.
0394e11ed00c6daac86668862fa32079d19e13c9,m,the end-credits face.
0dcb25fe538b1ec31ecfe6ab63202a5b8f5654c2,-,the end-credits face.
4da90fe28453561f10d9f9622c7e465656a1328f,y,the end-credits face.
b4af8afd034a39750e18c9d509a5dc27fd0bfe12,h,the end-credits face.
a35e82864d8e50948e88bafa164ee196a1eb6790,p,the end-credits face.
5ac8fde1a7306f015107bd1b34e780aead0f95a9,Z,the end-credits face.
08da8f5f35402deac870879005c1d29dafa08765,F,the end-credits face.
9753ce3477d19d70ffb858692f73ae42444afec3,H,the end-credits face.
e5e0795590a6dabb9b0279f0b04742ee9ec27115,G,the end-credits face.
68be38cd08f68f86fb044328fad14d1cd1370c46,(,the end-credits face.
25eea125e53f98483f38ca7a4f3ca11a5d107631,),the end-credits face.
63d4ef83c25cacc841a3c506de8ae3808a9ef589,B,the end-credits face.
82df74a62ea268354ec0667e5822b462a585827f,L,the end-credits face.
8ff2b91db137261f4a6ec542e42448c64665941d,K,the end-credits face.
4f3605cccd28d45af66698c4f95dd63c3c062a29,p,the end-credits face.
c695cc88f8bda5639741331de8b216e453e4dc88,",",the end-credits face.
b1913606235efb01b4f9744292213d46691a1bde,l,the end-credits face.
47eff190ffe496ec8e5bf507ee3a00f19b54c535,Q,the end-credits face.
d883cafad02d70ccffa13a690da3f63d17c227ca,v,the end-credits face.
e53a0e5582d488f4428236aa193d7c4df6fdf422,"""",the end-credits face.
7f1aea000c32ccf5e3549a872dd9e502c649a94d,&,the end-credits face.
5dee00fda655750408ad50b6aadd0b86d9963a3e,x,the end-credits face.
4a0e3a00dadb1f4269e7faf8ad34c1ffdd128006,",",the end-credits face.
1ef8f692cff1a97f76ceaebec9636e3752590469,U,the end-credits face.
5ad757850422e7f5d507ac92eab2906e48afe631,P,the end-credits face.
e295ee2eeed18611810c0227f70463d57a4272cc,u,the end-credits face.
89975e87258c3ec7c3895bcd6379ddff35971ead,z,the end-credits face.
fb69fefd6ad4d7276c6aa5a17d25c9924b778990,Q,the end-credits face.
f50aefe9548f7341197d86c1003a67ed299a3aec,b,the end-credits face.
7b38d734352836cf1b93dcaf27505b2547ef9689,b,the end-credits face.
