bank,sub,resource,voice_scene,message_id,scene,scene_line,speaker,context,confidence,evidence,notes
1483,16,1197,10,25,1,15,Alicia,,confirmed,scene voice_scene/voice_slot,
1483,17,1197,10,8,1,16,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,18,1197,10,23,1,17,Alicia,,confirmed,scene voice_scene/voice_slot,
1483,19,1197,10,19,1,18,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,20,1197,10,20,1,19,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,21,1197,10,29,1,20,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,22,1197,10,17,1,21,Alicia,,confirmed,scene voice_scene/voice_slot,
1483,23,1197,10,28,1,22,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,24,1197,10,9,1,23,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,25,1197,10,10,1,24,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,26,1197,10,30,1,25,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,27,1197,10,11,1,26,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,28,1197,10,12,1,27,Alicia,,confirmed,scene voice_scene/voice_slot,
1483,29,1197,10,21,1,28,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,30,1197,10,13,1,29,Alicia,,confirmed,scene voice_scene/voice_slot,
1483,31,1197,10,14,1,30,Alicia,,confirmed,scene voice_scene/voice_slot,
1483,32,1197,10,15,1,31,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,33,1197,10,22,1,32,Alicia,,confirmed,scene voice_scene/voice_slot,
1483,34,1197,10,16,1,33,Silmeria,,confirmed,scene voice_scene/voice_slot,
1483,35,1197,10,37,1,34,Silmeria,,confirmed,scene voice_scene/voice_slot,
1484,0,1195,20,37,1,1,Officer B,,confirmed,scene voice_scene/voice_slot,
1484,1,1195,20,23,1,2,Officer B,,confirmed,scene voice_scene/voice_slot,
1484,2,1195,20,1,1,3,Traveler,,confirmed,scene voice_scene/voice_slot,
1484,3,1195,20,2,1,4,Officer B,,confirmed,scene voice_scene/voice_slot,
1484,4,1195,20,3,1,5,Silmeria,,confirmed,scene voice_scene/voice_slot,
1484,5,1195,20,4,1,6,Alicia,,confirmed,scene voice_scene/voice_slot,
1484,6,1195,20,5,1,7,Silmeria,,confirmed,scene voice_scene/voice_slot,
1484,7,1195,20,36,1,8,Alicia,,confirmed,scene voice_scene/voice_slot,
1484,8,1195,20,35,1,9,Silmeria,,confirmed,scene voice_scene/voice_slot,
1484,9,1195,20,30,1,10,Alicia,,confirmed,scene voice_scene/voice_slot,
1484,10,1195,20,6,1,11,Silmeria,,confirmed,scene voice_scene/voice_slot,
1484,11,1195,20,7,1,12,Silmeria,,confirmed,scene voice_scene/voice_slot,
1484,12,1195,20,8,1,13,Alicia,,confirmed,scene voice_scene/voice_slot,
1484,13,1195,20,31,1,14,Silmeria,,confirmed,scene voice_scene/voice_slot,
1484,14,1195,20,10,1,15,Alicia,,confirmed,scene voice_scene/voice_slot,
1484,15,1195,20,32,1,16,Silmeria,,confirmed,scene voice_scene/voice_slot,
1484,16,1195,20,11,1,17,Alicia,,confirmed,scene voice_scene/voice_slot,
1484,17,1195,20,34,1,18,Silmeria,,confirmed,scene voice_scene/voice_slot,
1484,18,1195,20,12,1,19,Rufus,,confirmed,scene voice_scene/voice_slot,
1484,19,1195,20,13,1,20,Alicia,,confirmed,scene voice_scene/voice_slot,
1484,20,1195,20,14,1,21,Rufus,,confirmed,scene voice_scene/voice_slot,
1484,21,1195,20,15,1,22,Alicia,,confirmed,scene voice_scene/voice_slot,
1484,22,1195,20,16,1,23,Alicia,,confirmed,scene voice_scene/voice_slot,
1484,23,1195,20,17,1,24,Alicia,,confirmed,scene voice_scene/voice_slot,
1484,24,1195,20,33,1,25,Rufus,,confirmed,scene voice_scene/voice_slot,
1484,25,1195,20,18,1,26,Silmeria,,confirmed,scene voice_scene/voice_slot,
1484,26,1195,20,19,1,27,Silmeria,,confirmed,scene voice_scene/voice_slot,
1484,27,1195,20,20,1,28,Rufus,,confirmed,scene voice_scene/voice_slot,
1484,28,1195,20,21,1,29,Silmeria,,confirmed,scene voice_scene/voice_slot,
1484,29,1195,20,22,1,30,Silmeria,,confirmed,scene voice_scene/voice_slot,
1484,30,1195,20,24,1,31,Silmeria,,confirmed,scene voice_scene/voice_slot,
1484,31,1195,20,28,1,32,Silmeria,,confirmed,scene voice_scene/voice_slot,
1484,32,1195,20,25,1,33,Rufus,,confirmed,scene voice_scene/voice_slot,
1484,33,1195,20,26,1,34,Silmeria,,confirmed,scene voice_scene/voice_slot,
1484,34,1195,20,29,1,35,Silmeria,,confirmed,scene voice_scene/voice_slot,
1484,35,1195,20,27,1,36,Alicia,,confirmed,scene voice_scene/voice_slot,
1485,0,1197,30,78,2,1,Silmeria,,confirmed,scene voice_scene/voice_slot,
1485,1,1197,30,93,2,2,Alicia,,confirmed,scene voice_scene/voice_slot,
1485,2,1197,30,79,2,3,Silmeria,,confirmed,scene voice_scene/voice_slot,
1485,3,1197,30,91,2,4,Silmeria,,confirmed,scene voice_scene/voice_slot,
1485,4,1197,30,80,2,5,Rufus,,confirmed,scene voice_scene/voice_slot,
1485,5,1197,30,81,2,6,Alicia,,confirmed,scene voice_scene/voice_slot,
1485,6,1197,30,83,2,7,Rufus,,confirmed,scene voice_scene/voice_slot,
1485,7,1197,30,82,2,8,Rufus,,confirmed,scene voice_scene/voice_slot,
1485,8,1197,30,84,2,9,Rufus,,confirmed,scene voice_scene/voice_slot,
1485,9,1197,30,92,2,10,Rufus,,confirmed,scene voice_scene/voice_slot,
1485,10,1197,30,86,2,11,Silmeria,,confirmed,scene voice_scene/voice_slot,
1485,11,1197,30,87,2,12,Rufus,,confirmed,scene voice_scene/voice_slot,
1485,12,1197,30,88,2,13,Silmeria,,confirmed,scene voice_scene/voice_slot,
1485,13,1197,30,89,2,14,Rufus,,confirmed,scene voice_scene/voice_slot,
1485,14,1197,30,90,2,15,Silmeria,,confirmed,scene voice_scene/voice_slot,
1486,0,1217,41,1894,2,1,Rufus,,confirmed,scene voice_scene/voice_slot,
1486,1,1217,41,1882,2,2,Silmeria,,confirmed,scene voice_scene/voice_slot,
1486,2,1217,41,1883,2,3,Rufus,,confirmed,scene voice_scene/voice_slot,
1486,3,1217,41,1884,2,4,Silmeria,,confirmed,scene voice_scene/voice_slot,
1486,4,1217,41,1885,2,5,Rufus,,confirmed,scene voice_scene/voice_slot,
1486,5,1217,41,1886,2,6,Silmeria,,confirmed,scene voice_scene/voice_slot,
1486,6,1217,41,1887,2,7,Rufus,,confirmed,scene voice_scene/voice_slot,
1486,7,1217,41,1888,2,8,Silmeria,,confirmed,scene voice_scene/voice_slot,
1486,8,1217,41,1889,2,9,Rufus,,confirmed,scene voice_scene/voice_slot,
1486,9,1217,41,1890,2,10,Rufus,,confirmed,scene voice_scene/voice_slot,
1486,10,1217,41,1891,2,11,Rufus,,confirmed,scene voice_scene/voice_slot,
1486,11,1217,41,1892,2,12,Silmeria,,confirmed,scene voice_scene/voice_slot,
1486,12,1217,41,1893,2,13,Rufus,,confirmed,scene voice_scene/voice_slot,
1486,13,1217,41,1895,2,14,Silmeria,,confirmed,scene voice_scene/voice_slot,
1487,0,1217,42,1,1,1,Rufus,,confirmed,scene voice_scene/voice_slot,
1487,1,1217,42,2,1,2,Silmeria,,confirmed,scene voice_scene/voice_slot,
1487,2,1217,42,3,1,3,Silmeria,,confirmed,scene voice_scene/voice_slot,
1487,3,1217,42,4,1,4,Rufus,,confirmed,scene voice_scene/voice_slot,
1487,4,1217,42,5,1,5,Silmeria,,confirmed,scene voice_scene/voice_slot,
1487,5,1217,42,6,1,6,Silmeria,,confirmed,scene voice_scene/voice_slot,
1487,6,1217,42,7,1,7,Silmeria,,confirmed,scene voice_scene/voice_slot,
1487,7,1217,42,8,1,8,Silmeria,,confirmed,scene voice_scene/voice_slot,
1487,8,1217,42,9,1,9,Rufus,,confirmed,scene voice_scene/voice_slot,
1487,9,1217,42,10,1,10,Silmeria,,confirmed,scene voice_scene/voice_slot,
1487,10,1217,42,11,1,11,Alicia,,confirmed,scene voice_scene/voice_slot,
1488,0,1219,50,1,1,1,Silmeria,,confirmed,scene voice_scene/voice_slot,
1488,1,1219,50,2,1,2,Silmeria,,confirmed,scene voice_scene/voice_slot,
1488,2,1219,50,22,1,3,Silmeria,,confirmed,scene voice_scene/voice_slot,
1488,3,1219,50,19,1,4,Rufus,,confirmed,scene voice_scene/voice_slot,
1488,4,1219,50,3,1,5,Alicia,,confirmed,scene voice_scene/voice_slot,
1488,5,1219,50,4,1,6,Rufus,,confirmed,scene voice_scene/voice_slot,
1488,6,1219,50,5,1,7,Rufus,,confirmed,scene voice_scene/voice_slot,
1488,7,1219,50,14,1,8,Silmeria,,confirmed,scene voice_scene/voice_slot,
1488,8,1219,50,6,1,9,Rufus,,confirmed,scene voice_scene/voice_slot,
1488,9,1219,50,15,1,10,Rufus,,confirmed,scene voice_scene/voice_slot,
1488,10,1219,50,20,1,11,Rufus,,confirmed,scene voice_scene/voice_slot,
1488,11,1219,50,7,1,12,Silmeria,,confirmed,scene voice_scene/voice_slot,
1488,12,1219,50,8,1,13,Silmeria,,confirmed,scene voice_scene/voice_slot,
1488,13,1219,50,9,1,14,Silmeria,,confirmed,scene voice_scene/voice_slot,
1488,14,1219,50,10,1,15,Einherjar C,,confirmed,scene voice_scene/voice_slot,
1488,15,1219,50,11,1,16,Einherjar B,,confirmed,scene voice_scene/voice_slot,
1488,16,1219,50,12,1,17,Einherjar A,,confirmed,scene voice_scene/voice_slot,
1488,17,1219,50,13,1,18,Silmeria,,confirmed,scene voice_scene/voice_slot,
1488,18,1219,50,17,1,19,Silmeria,,confirmed,scene voice_scene/voice_slot,
1488,19,1219,50,23,1,20,Silmeria,,confirmed,scene voice_scene/voice_slot,
1488,20,1219,50,18,1,21,Rufus,,confirmed,scene voice_scene/voice_slot,
1488,21,1219,50,21,1,22,Alicia,,confirmed,scene voice_scene/voice_slot,
1489,0,1221,71,1,1,1,Rufus,,confirmed,scene voice_scene/voice_slot,
1489,1,1221,71,2,1,2,Rufus,,confirmed,scene voice_scene/voice_slot,
1489,2,1221,71,3,1,3,Rufus,,confirmed,scene voice_scene/voice_slot,
1489,3,1221,71,15,1,4,Silmeria,,confirmed,scene voice_scene/voice_slot,
1489,4,1221,71,4,1,5,Silmeria,,confirmed,scene voice_scene/voice_slot,
1489,5,1221,71,5,1,6,Rufus,,confirmed,scene voice_scene/voice_slot,
1489,6,1221,71,6,1,7,Rufus,,confirmed,scene voice_scene/voice_slot,
1489,7,1221,71,7,1,8,Silmeria,,confirmed,scene voice_scene/voice_slot,
1489,8,1221,71,16,1,9,Silmeria,,confirmed,scene voice_scene/voice_slot,
1489,9,1221,71,8,1,10,Alicia,,confirmed,scene voice_scene/voice_slot,
1489,10,1221,71,9,1,11,Silmeria,,confirmed,scene voice_scene/voice_slot,
1489,11,1221,71,10,1,12,Silmeria,,confirmed,scene voice_scene/voice_slot,
1489,12,1221,71,11,1,13,Alicia,,confirmed,scene voice_scene/voice_slot,
1489,13,1221,71,12,1,14,Silmeria,,confirmed,scene voice_scene/voice_slot,
1489,14,1221,71,13,1,15,Silmeria,,confirmed,scene voice_scene/voice_slot,
1489,15,1221,71,14,1,16,Silmeria,,confirmed,scene voice_scene/voice_slot,
1490,0,1223,73,1,1,1,Silmeria,,confirmed,scene voice_scene/voice_slot,
1490,1,1223,73,2,1,2,Dylan,,confirmed,scene voice_scene/voice_slot,
1490,2,1223,73,3,1,3,Dylan,,confirmed,scene voice_scene/voice_slot,
1490,3,1223,73,9,1,4,Silmeria,,confirmed,scene voice_scene/voice_slot,
1490,4,1223,73,10,1,5,Dylan,,confirmed,scene voice_scene/voice_slot,
1490,5,1223,73,11,1,6,Silmeria,,confirmed,scene voice_scene/voice_slot,
1490,6,1223,73,8,1,7,Dylan,,confirmed,scene voice_scene/voice_slot,
1490,7,1223,73,7,1,8,Silmeria,,confirmed,scene voice_scene/voice_slot,
1490,8,1223,73,4,1,9,Rufus,,confirmed,scene voice_scene/voice_slot,
1490,9,1223,73,12,1,10,Silmeria,,confirmed,scene voice_scene/voice_slot,
1490,10,1223,73,13,1,11,Silmeria,,confirmed,scene voice_scene/voice_slot,
1490,11,1223,73,5,1,12,Rufus,,confirmed,scene voice_scene/voice_slot,
1490,12,1223,73,14,1,13,Dylan,,confirmed,scene voice_scene/voice_slot,
1490,13,1223,73,6,1,14,Rufus,,confirmed,scene voice_scene/voice_slot,
1491,0,1227,90,14,1,1,Alicia,,confirmed,scene voice_scene/voice_slot,
1491,1,1227,90,8,1,2,Rufus,,confirmed,scene voice_scene/voice_slot,
1491,2,1227,90,1,1,3,Dylan,,confirmed,scene voice_scene/voice_slot,
1491,3,1227,90,2,1,4,Dylan,,confirmed,scene voice_scene/voice_slot,
1491,4,1227,90,10,1,5,Rufus,,confirmed,scene voice_scene/voice_slot,
1491,5,1227,90,3,1,6,Dylan,,confirmed,scene voice_scene/voice_slot,
1491,6,1227,90,9,1,7,Silmeria,,confirmed,scene voice_scene/voice_slot,
1491,7,1227,90,11,1,8,Silmeria,,confirmed,scene voice_scene/voice_slot,
1491,8,1227,90,4,1,9,Rufus,,confirmed,scene voice_scene/voice_slot,
1491,9,1227,90,12,1,10,Silmeria,,confirmed,scene voice_scene/voice_slot,
1491,10,1227,90,5,1,11,Silmeria,,confirmed,scene voice_scene/voice_slot,
1491,11,1227,90,13,1,12,Silmeria,,confirmed,scene voice_scene/voice_slot,
1491,12,1227,90,6,1,13,Silmeria,,confirmed,scene voice_scene/voice_slot,
1491,13,1227,90,7,1,14,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,0,1201,100,1,1,1,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,1,1201,100,29,1,2,Alicia,,confirmed,scene voice_scene/voice_slot,
1492,2,1201,100,2,1,3,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,3,1201,100,3,1,4,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,4,1201,100,30,1,5,Alicia,,confirmed,scene voice_scene/voice_slot,
1492,5,1201,100,4,1,6,Alicia,,confirmed,scene voice_scene/voice_slot,
1492,6,1201,100,5,1,7,Alicia,,confirmed,scene voice_scene/voice_slot,
1492,7,1201,100,6,1,8,Dylan,,confirmed,scene voice_scene/voice_slot,
1492,8,1201,100,26,1,9,Dylan,,confirmed,scene voice_scene/voice_slot,
1492,9,1201,100,7,1,10,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,10,1201,100,8,1,11,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,11,1201,100,9,1,12,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,12,1201,100,10,1,13,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,13,1201,100,11,1,14,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,14,1201,100,12,1,15,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,15,1201,100,13,1,16,Silmeria,,confirmed,scene voice_scene/voice_slot,
1492,16,1201,100,32,1,17,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,17,1201,100,14,1,18,Silmeria,,confirmed,scene voice_scene/voice_slot,
1492,18,1201,100,15,1,19,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,19,1201,100,16,1,20,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,20,1201,100,17,1,21,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,21,1201,100,31,1,22,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,22,1201,100,18,1,23,Silmeria,,confirmed,scene voice_scene/voice_slot,
1492,23,1201,100,19,1,24,Silmeria,,confirmed,scene voice_scene/voice_slot,
1492,24,1201,100,20,1,25,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,25,1201,100,27,1,26,Silmeria,,confirmed,scene voice_scene/voice_slot,
1492,26,1201,100,21,1,27,Silmeria,,confirmed,scene voice_scene/voice_slot,
1492,27,1201,100,25,1,28,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,28,1201,100,22,1,29,Rufus,,confirmed,scene voice_scene/voice_slot,
1492,29,1201,100,23,1,30,Silmeria,,confirmed,scene voice_scene/voice_slot,
1492,30,1201,100,28,1,31,Rufus,,confirmed,scene voice_scene/voice_slot,
1493,0,1229,110,139,2,1,Rufus,,confirmed,scene voice_scene/voice_slot,
1493,1,1229,110,156,2,2,Rufus,,confirmed,scene voice_scene/voice_slot,
1493,2,1229,110,140,2,3,Alicia,,confirmed,scene voice_scene/voice_slot,
1493,3,1229,110,141,2,4,Rufus,,confirmed,scene voice_scene/voice_slot,
1493,4,1229,110,142,2,5,Alicia,,confirmed,scene voice_scene/voice_slot,
1493,5,1229,110,143,2,6,Dylan,,confirmed,scene voice_scene/voice_slot,
1493,6,1229,110,154,2,7,Rufus,,confirmed,scene voice_scene/voice_slot,
1493,7,1229,110,155,2,8,Rufus,,confirmed,scene voice_scene/voice_slot,
1493,8,1229,110,151,2,9,Rufus,,confirmed,scene voice_scene/voice_slot,
1493,9,1229,110,144,2,10,Alicia,,confirmed,scene voice_scene/voice_slot,
1493,10,1229,110,145,2,11,Rufus,,confirmed,scene voice_scene/voice_slot,
1493,11,1229,110,146,2,12,Alicia,,confirmed,scene voice_scene/voice_slot,
1493,12,1229,110,147,2,13,Alicia,,confirmed,scene voice_scene/voice_slot,
1493,13,1229,110,148,2,14,Rufus,,confirmed,scene voice_scene/voice_slot,
1493,14,1229,110,159,2,15,Rufus,,confirmed,scene voice_scene/voice_slot,
1493,15,1229,110,152,2,16,Alicia,,confirmed,scene voice_scene/voice_slot,
1493,16,1229,110,153,2,17,Alicia,,confirmed,scene voice_scene/voice_slot,
1493,17,1229,110,158,2,18,Dylan,,confirmed,scene voice_scene/voice_slot,
1493,18,1229,110,160,2,19,Dylan,,confirmed,scene voice_scene/voice_slot,
1493,19,1229,110,149,2,20,Alicia,,confirmed,scene voice_scene/voice_slot,
1493,20,1229,110,150,2,21,Alicia,,confirmed,scene voice_scene/voice_slot,
1494,0,1231,130,1,1,1,Rufus,,confirmed,scene voice_scene/voice_slot,
1494,1,1231,130,2,1,2,Rufus,,confirmed,scene voice_scene/voice_slot,
1494,2,1231,130,3,1,3,Alicia,,confirmed,scene voice_scene/voice_slot,
1494,3,1231,130,6,1,4,Alicia,,confirmed,scene voice_scene/voice_slot,
1494,4,1231,130,4,1,5,Alicia,,confirmed,scene voice_scene/voice_slot,
1495,0,1235,140,10,1,1,Rufus,,confirmed,scene voice_scene/voice_slot,
1495,1,1235,140,1,1,2,Rufus,,confirmed,scene voice_scene/voice_slot,
1495,2,1235,140,11,1,3,Rufus,,confirmed,scene voice_scene/voice_slot,
1495,3,1235,140,3,1,4,Rufus,,confirmed,scene voice_scene/voice_slot,
1495,4,1235,140,4,1,5,Rufus,,confirmed,scene voice_scene/voice_slot,
1495,5,1235,140,13,1,6,Rufus,,confirmed,scene voice_scene/voice_slot,
1495,6,1235,140,12,1,7,Dylan,,confirmed,scene voice_scene/voice_slot,
1495,7,1235,140,5,1,8,Dylan,,confirmed,scene voice_scene/voice_slot,
1495,8,1235,140,6,1,9,Dylan,,confirmed,scene voice_scene/voice_slot,
1495,9,1235,140,7,1,10,Dylan,,confirmed,scene voice_scene/voice_slot,
1495,10,1235,140,8,1,11,Rufus,,confirmed,scene voice_scene/voice_slot,
1495,11,1235,140,9,1,12,Rufus,,confirmed,scene voice_scene/voice_slot,
1496,0,1233,150,1,1,1,Alicia,,confirmed,scene voice_scene/voice_slot,
1496,1,1233,150,2,1,2,Alicia,,confirmed,scene voice_scene/voice_slot,
1496,2,1233,150,3,1,3,Dallas,,confirmed,scene voice_scene/voice_slot,
1496,3,1233,150,39,1,4,Dallas,,confirmed,scene voice_scene/voice_slot,
1496,4,1233,150,5,1,5,Alicia,,confirmed,scene voice_scene/voice_slot,
1496,5,1233,150,6,1,6,Dallas,,confirmed,scene voice_scene/voice_slot,
1496,6,1233,150,7,1,7,Rufus,,confirmed,scene voice_scene/voice_slot,
1496,7,1233,150,31,1,8,Alicia,,confirmed,scene voice_scene/voice_slot,
1496,8,1233,150,8,1,9,Alicia,,confirmed,scene voice_scene/voice_slot,
1496,9,1233,150,9,1,10,Dallas,,confirmed,scene voice_scene/voice_slot,
1496,10,1233,150,10,1,11,Dylan,,confirmed,scene voice_scene/voice_slot,
1496,11,1233,150,33,1,12,Rufus,,confirmed,scene voice_scene/voice_slot,
1496,12,1233,150,32,1,13,Dylan,,confirmed,scene voice_scene/voice_slot,
1496,13,1233,150,38,1,14,Dylan,,confirmed,scene voice_scene/voice_slot,
1496,14,1233,150,34,1,15,Dylan,,confirmed,scene voice_scene/voice_slot,
1496,15,1233,150,35,1,16,Dylan,,confirmed,scene voice_scene/voice_slot,
1496,16,1233,150,11,1,17,Dallas,,confirmed,scene voice_scene/voice_slot,
1496,17,1233,150,40,1,18,Alicia,,confirmed,scene voice_scene/voice_slot,
1496,18,1233,150,13,1,19,Silmeria,,confirmed,scene voice_scene/voice_slot,
1496,19,1233,150,14,1,20,Silmeria,,confirmed,scene voice_scene/voice_slot,
1496,20,1233,150,16,1,21,Rufus,,confirmed,scene voice_scene/voice_slot,
1496,21,1233,150,44,1,22,Dallas,,confirmed,scene voice_scene/voice_slot,
1496,22,1233,150,17,1,23,Dallas,,confirmed,scene voice_scene/voice_slot,
1496,23,1233,150,18,1,24,Silmeria,,confirmed,scene voice_scene/voice_slot,
1496,24,1233,150,19,1,25,Dallas,,confirmed,scene voice_scene/voice_slot,
1496,25,1233,150,20,1,26,Dallas,,confirmed,scene voice_scene/voice_slot,
1496,26,1233,150,37,1,27,Walther,,confirmed,scene voice_scene/voice_slot,
1496,27,1233,150,21,1,28,Silmeria,,confirmed,scene voice_scene/voice_slot,
1496,28,1233,150,36,1,29,Alicia,,confirmed,scene voice_scene/voice_slot,
1496,29,1233,150,42,1,30,Barbarossa,,confirmed,scene voice_scene/voice_slot,
1496,30,1233,150,23,1,31,Alicia,,confirmed,scene voice_scene/voice_slot,
1496,31,1233,150,43,1,32,Barbarossa,,confirmed,scene voice_scene/voice_slot,
1496,32,1233,150,24,1,33,Barbarossa,,confirmed,scene voice_scene/voice_slot,
1496,33,1233,150,25,1,34,Barbarossa,,confirmed,scene voice_scene/voice_slot,
1496,34,1233,150,26,1,35,Barbarossa,,confirmed,scene voice_scene/voice_slot,
1496,35,1233,150,27,1,36,Walther,,confirmed,scene voice_scene/voice_slot,
1496,36,1233,150,,,,,,unmapped,,no subtitle record
1496,37,1233,150,41,1,37,Dallas,,confirmed,scene voice_scene/voice_slot,
1496,38,1233,150,29,1,38,Dallas,,confirmed,scene voice_scene/voice_slot,
1497,0,1237,160,21,1,1,Rufus,,confirmed,scene voice_scene/voice_slot,
1497,1,1237,160,,,,,,unmapped,,no subtitle record
1497,2,1237,160,1,1,2,Hrist,,confirmed,scene voice_scene/voice_slot,
1497,3,1237,160,2,1,3,Hrist,,confirmed,scene voice_scene/voice_slot,
1497,4,1237,160,3,1,4,Hrist,,confirmed,scene voice_scene/voice_slot,
1497,5,1237,160,4,1,5,Alicia,,confirmed,scene voice_scene/voice_slot,
1497,6,1237,160,16,1,6,Hrist,,confirmed,scene voice_scene/voice_slot,
1497,7,1237,160,5,1,7,Hrist,,confirmed,scene voice_scene/voice_slot,
1497,8,1237,160,17,1,8,Hrist,,confirmed,scene voice_scene/voice_slot,
1497,9,1237,160,6,1,9,Hrist,,confirmed,scene voice_scene/voice_slot,
1497,10,1237,160,7,1,10,Alicia,,confirmed,scene voice_scene/voice_slot,
1497,11,1237,160,8,1,11,Hrist,,confirmed,scene voice_scene/voice_slot,
1497,12,1237,160,18,1,12,Hrist,,confirmed,scene voice_scene/voice_slot,
1497,13,1237,160,9,1,13,Silmeria,,confirmed,scene voice_scene/voice_slot,
1497,14,1237,160,22,1,14,Silmeria,,confirmed,scene voice_scene/voice_slot,
1497,15,1237,160,10,1,15,Hrist,,confirmed,scene voice_scene/voice_slot,
1497,16,1237,160,11,1,16,Hrist,,confirmed,scene voice_scene/voice_slot,
1497,17,1237,160,12,1,17,Hrist,,confirmed,scene voice_scene/voice_slot,
1497,18,1237,160,13,1,18,Silmeria,,confirmed,scene voice_scene/voice_slot,
1497,19,1237,160,14,1,19,Silmeria,,confirmed,scene voice_scene/voice_slot,
1497,20,1237,160,19,1,20,Silmeria,,confirmed,scene voice_scene/voice_slot,
1497,21,1237,160,20,1,21,Hrist,,confirmed,scene voice_scene/voice_slot,
1497,22,1237,160,24,1,22,Hrist,,confirmed,scene voice_scene/voice_slot,
1497,23,1237,160,15,1,23,Hrist,,confirmed,scene voice_scene/voice_slot,
1497,24,1237,160,23,1,24,Hrist,,confirmed,scene voice_scene/voice_slot,
1498,0,1229,170,1,1,1,Walther,,confirmed,scene voice_scene/voice_slot,
1498,1,1229,170,10,1,2,Walther,,confirmed,scene voice_scene/voice_slot,
1498,2,1229,170,2,1,3,Walther,,confirmed,scene voice_scene/voice_slot,
1498,3,1229,170,3,1,4,Dylan,,confirmed,scene voice_scene/voice_slot,
1498,4,1229,170,4,1,5,Rufus,,confirmed,scene voice_scene/voice_slot,
1498,5,1229,170,5,1,6,Lezard,,confirmed,scene voice_scene/voice_slot,
1498,6,1229,170,6,1,7,Walther,,confirmed,scene voice_scene/voice_slot,
1498,7,1229,170,11,1,8,Barbarossa,,confirmed,scene voice_scene/voice_slot,
1498,8,1229,170,7,1,9,Gyne,,confirmed,scene voice_scene/voice_slot,
1498,9,1229,170,8,1,10,Barbarossa,,confirmed,scene voice_scene/voice_slot,
1498,10,1229,170,14,1,11,Barbarossa,,confirmed,scene voice_scene/voice_slot,
